TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
DataWarehouse,gold,dim_customers,VIEW,DataWarehouse,gold,dim_customers,customer_key,1,NULL,YES,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,dim_customers,VIEW,DataWarehouse,gold,dim_customers,customer_id,2,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,dim_customers,VIEW,DataWarehouse,gold,dim_customers,customer_number,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_customers,VIEW,DataWarehouse,gold,dim_customers,first_name,4,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_customers,VIEW,DataWarehouse,gold,dim_customers,last_name,5,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_customers,VIEW,DataWarehouse,gold,dim_customers,country,6,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_customers,VIEW,DataWarehouse,gold,dim_customers,cst_marital_status,7,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_customers,VIEW,DataWarehouse,gold,dim_customers,gender,8,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_customers,VIEW,DataWarehouse,gold,dim_customers,birthdate,9,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,dim_customers,VIEW,DataWarehouse,gold,dim_customers,create_date,10,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,dim_products,VIEW,DataWarehouse,gold,dim_products,product_key,1,NULL,YES,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,dim_products,VIEW,DataWarehouse,gold,dim_products,product_id,2,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,dim_products,VIEW,DataWarehouse,gold,dim_products,product_number,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_products,VIEW,DataWarehouse,gold,dim_products,product_name,4,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_products,VIEW,DataWarehouse,gold,dim_products,category_id,5,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_products,VIEW,DataWarehouse,gold,dim_products,category,6,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_products,VIEW,DataWarehouse,gold,dim_products,subcategory,7,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_products,VIEW,DataWarehouse,gold,dim_products,maintenance,8,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_products,VIEW,DataWarehouse,gold,dim_products,cost,9,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,dim_products,VIEW,DataWarehouse,gold,dim_products,product_line,10,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,dim_products,VIEW,DataWarehouse,gold,dim_products,start_date,11,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,fact_sales,VIEW,DataWarehouse,gold,fact_sales,order_num,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,gold,fact_sales,VIEW,DataWarehouse,gold,fact_sales,product_key,2,NULL,YES,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,fact_sales,VIEW,DataWarehouse,gold,fact_sales,customer_key,3,NULL,YES,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,fact_sales,VIEW,DataWarehouse,gold,fact_sales,order_date,4,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,fact_sales,VIEW,DataWarehouse,gold,fact_sales,shipping_date,5,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,fact_sales,VIEW,DataWarehouse,gold,fact_sales,due_date,6,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,gold,fact_sales,VIEW,DataWarehouse,gold,fact_sales,sales_amount,7,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
